model,mode,arm,chunk_id,ppl,kl,flip
Llama-3.3-70B-Instruct,scale,clean,0,3.599334,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,1,2.799713,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,2,2.622443,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,3,2.828931,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,4,2.606857,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,5,3.238750,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,6,4.234351,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,7,4.262694,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,8,5.565236,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,9,3.410396,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,10,3.929994,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,11,2.251612,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,12,2.103954,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,13,3.449041,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,14,4.343378,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,15,4.804682,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,16,5.172407,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,17,6.825590,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,18,5.738215,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,19,5.925798,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,20,5.526777,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,21,5.288516,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,22,10.293704,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,23,2.152512,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,24,3.921441,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,25,6.651012,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,26,7.799432,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,27,6.191855,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,28,5.571792,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,29,6.713060,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,30,7.779692,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,clean,31,7.631633,0.000000,0.000000
Llama-3.3-70B-Instruct,scale,cubic_fp8 all,0,3.632336,0.005241,0.016602
Llama-3.3-70B-Instruct,scale,cubic_fp8 all,1,2.875905,0.027770,0.037109
Llama-3.3-70B-Instruct,scale,cubic_fp8 all,2,2.696295,0.037300,0.070312
Llama-3.3-70B-Instruct,scale,cubic_fp8 all,3,2.918189,0.037207,0.054688
Llama-3.3-70B-Instruct,scale,cubic_fp8 all,4,2.713651,0.056408,0.069336
