model,mode,arm,chunk_id,ppl,kl,flip
Qwen2.5-72B-Instruct,scale,clean,0,4.462626,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,1,2.827008,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,2,1.689504,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,3,1.801292,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,4,2.010713,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,5,1.790610,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,6,3.828126,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,7,7.471364,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,8,5.137505,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,9,4.909170,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,10,4.533745,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,11,2.605750,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,12,2.672036,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,13,2.261002,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,14,4.243858,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,15,4.954810,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,16,4.530448,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,17,6.026226,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,18,7.164084,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,19,6.364283,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,20,6.382511,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,21,7.222752,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,22,5.527042,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,23,8.841620,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,24,3.273932,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,25,3.262749,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,26,6.341559,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,27,5.591230,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,28,5.128252,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,29,4.872055,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,30,3.974912,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,clean,31,5.810768,0.000000,0.000000
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,0,4.508531,0.008953,0.040039
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,1,2.855431,0.019026,0.032227
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,2,1.710197,0.019798,0.028320
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,3,1.826030,0.023203,0.030273
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,4,2.067495,0.029169,0.035156
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,5,1.833459,0.033129,0.045898
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,6,3.902548,0.020095,0.063477
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,7,7.574772,0.010771,0.062500
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,8,5.132188,0.009560,0.059570
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,9,5.003321,0.014165,0.063477
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,10,4.560981,0.009218,0.036133
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,11,2.608134,0.008664,0.033203
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,12,2.674134,0.013015,0.046875
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,13,2.267631,0.013476,0.024414
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,14,4.263642,0.010583,0.040039
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,15,4.967274,0.010917,0.035156
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,16,4.591748,0.011453,0.058594
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,17,6.056939,0.012825,0.069336
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,18,7.208422,0.012667,0.066406
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,19,6.433390,0.009094,0.048828
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,20,6.460538,0.009531,0.059570
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,21,7.237207,0.009854,0.065430
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,22,5.555711,0.010356,0.052734
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,23,8.930234,0.011403,0.076172
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,24,3.342362,0.019063,0.045898
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,25,3.352357,0.019822,0.047852
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,26,6.434640,0.010557,0.060547
Qwen2.5-72B-Instruct,scale,cubic_fp8 all,27,5.648328,0.013306,0.054688
